         x                y             f0_f2   
       35.000000      -75.000000        4.987056
       35.000000      -80.000000        4.984577
       35.000000      -85.000000        4.998055
       35.000000      -90.000000        5.020269
       40.000000       90.000000        2.020500
       40.000000       85.000000        2.354933
       40.000000       80.000000        2.332468
       40.000000       75.000000        2.254935
       40.000000       70.000000        2.753703
       40.000000       65.000000        3.502386
       40.000000       60.000000        3.934298
       40.000000       55.000000        4.201988
       40.000000       50.000000        4.378366
       40.000000       45.000000        4.507971
       40.000000       40.000000        4.632023
       40.000000       35.000000        4.728010
       40.000000       30.000000        4.851447
       40.000000       25.000000        5.040877
       40.000000       20.000000        5.556338
       40.000000       15.000000        6.398648
       40.000000       10.000000        7.014084
       40.000000        5.000000        6.640313
       40.000000    0.000000E+00        6.866050
       40.000000       -5.000000        7.105771
       40.000000      -10.000000        7.314074
       40.000000      -15.000000        7.378734
       40.000000      -20.000000        7.032327
       40.000000      -25.000000        6.450858
       40.000000      -30.000000        5.919713
       40.000000      -35.000000        5.491453
       40.000000      -40.000000        5.215975
       40.000000      -45.000000        5.008992
       40.000000      -50.000000        4.859428
       40.000000      -55.000000        4.788928
       40.000000      -60.000000        4.816215
       40.000000      -65.000000        4.914241
       40.000000      -70.000000        4.962643
       40.000000      -75.000000        4.972847
       40.000000      -80.000000        4.971501
       40.000000      -85.000000        4.992412
       40.000000      -90.000000        5.020269
       45.000000       90.000000        2.020500
       45.000000       85.000000        2.362735
       45.000000       80.000000        2.224395
       45.000000       75.000000        2.133588
       45.000000       70.000000        2.552122
       45.000000       65.000000        3.288429
       45.000000       60.000000        3.799771
       45.000000       55.000000        4.100639
       45.000000       50.000000        4.333700
       45.000000       45.000000        4.450653
       45.000000       40.000000        4.588597
       45.000000       35.000000        4.697495
       45.000000       30.000000        4.840063
       45.000000       25.000000        5.063178
       45.000000       20.000000        5.644753
       45.000000       15.000000        6.554623
       45.000000       10.000000        7.127985
       45.000000        5.000000        6.549280
       45.000000    0.000000E+00        6.969618
       45.000000       -5.000000        7.144375
       45.000000      -10.000000        7.375596
       45.000000      -15.000000        7.432626
       45.000000      -20.000000        7.017733
       45.000000      -25.000000        6.403069
       45.000000      -30.000000        5.900575
       45.000000      -35.000000        5.470304
       45.000000      -40.000000        5.219790
       45.000000      -45.000000        4.997886
       45.000000      -50.000000        4.862377
       45.000000      -55.000000        4.791320
       45.000000      -60.000000        4.844755
       45.000000      -65.000000        4.920072
       45.000000      -70.000000        4.951560
       45.000000      -75.000000        4.958760
       45.000000      -80.000000        4.958627
       45.000000      -85.000000        4.986984
       45.000000      -90.000000        5.020269
       50.000000       90.000000        2.020500
       50.000000       85.000000        2.367862
       50.000000       80.000000        2.123078
       50.000000       75.000000        2.012444
       50.000000       70.000000        2.352033
       50.000000       65.000000        3.052893
       50.000000       60.000000        3.619542
       50.000000       55.000000        3.972365
       50.000000       50.000000        4.231855
       50.000000       45.000000        4.395743
       50.000000       40.000000        4.527118
       50.000000       35.000000        4.660072
       50.000000       30.000000        4.831364
       50.000000       25.000000        5.132068
       50.000000       20.000000        5.783003
       50.000000       15.000000        6.647042
       50.000000       10.000000        7.044805
       50.000000        5.000000        6.603665
       50.000000    0.000000E+00        7.018871
       50.000000       -5.000000        7.181462
       50.000000      -10.000000        7.418371
       50.000000      -15.000000        7.453041
       50.000000      -20.000000        7.002779
       50.000000      -25.000000        6.377388
       50.000000      -30.000000        5.890717
       50.000000      -35.000000        5.438999
       50.000000      -40.000000        5.226147
       50.000000      -45.000000        4.992325
       50.000000      -50.000000        4.874164
       50.000000      -55.000000        4.802135
       50.000000      -60.000000        4.884315
       50.000000      -65.000000        4.932930
       50.000000      -70.000000        4.946911
       50.000000      -75.000000        4.944269
       50.000000      -80.000000        4.945993
       50.000000      -85.000000        4.982046
       50.000000      -90.000000        5.020269
       55.000000       90.000000        2.020500
       55.000000       85.000000        2.370349
       55.000000       80.000000        2.026318
       55.000000       75.000000        1.899415
       55.000000       70.000000        2.158526
       55.000000       65.000000        2.793554
       55.000000       60.000000        3.382101
       55.000000       55.000000        3.805267
       55.000000       50.000000        4.092453
       55.000000       45.000000        4.303288
       55.000000       40.000000        4.457113
       55.000000       35.000000        4.607005
       55.000000       30.000000        4.811620
       55.000000       25.000000        5.191040
       55.000000       20.000000        5.913106
       55.000000       15.000000        6.733119
       55.000000       10.000000        6.939363
       55.000000        5.000000        6.677755
       55.000000    0.000000E+00        7.040127
       55.000000       -5.000000        7.220607
       55.000000      -10.000000        7.450918
       55.000000      -15.000000        7.430770
       55.000000      -20.000000        6.971193
       55.000000      -25.000000        6.377724
       55.000000      -30.000000        5.885821
       55.000000      -35.000000        5.449356
       55.000000      -40.000000        5.236682
       55.000000      -45.000000        5.012629
       55.000000      -50.000000        4.901599
       55.000000      -55.000000        4.832755
