lat	lon	on2	fdoy
60.820957	168.82452	0.65841126	29.957516
60.988853	168.9692	0.6005572	29.957552
61.15653	169.11566	0.55772626	29.957586
61.324516	169.26332	0.67793286	29.95762
61.49117	169.41429	0.5106654	29.957655
61.658028	169.56621	0.67423403	29.95769
61.825123	169.71812	0.649066	29.957726
61.991634	169.87294	0.72369516	29.95776
62.15825	170.02951	0.5981405	29.957794
62.324276	170.18861	0.57464874	29.957829
62.490574	170.3488	0.5073105	29.957863
62.656544	170.51039	0.54621005	29.9579
62.822174	170.6754	0.6050124	29.957933
62.988182	170.83943	0.76995313	29.957968
63.153015	171.00774	0.6400093	29.958002
63.318512	171.17743	0.5018493	29.958036
63.482944	171.3502	0.48754594	29.958073
63.647827	171.52295	0.5465547	29.958107
63.811707	171.70001	0.5813931	29.958141
63.976322	171.87764	0.53404427	29.958176
64.140755	172.05652	0.5066153	29.95821
64.303696	172.23985	0.50305057	29.958246
64.46743	172.42389	0.6117773	29.95828
64.63043	172.6113	0.60912025	29.958315
64.79363	172.79991	0.7370974	29.95835
64.95576	172.99138	0.55516565	29.958385
65.11871	173.1851	0.51476204	29.95842
65.280785	173.3818	0.7078588	29.958454
-68.4764	60.73854	0.1569319	29.99748
-68.42659	61.207336	0.19297424	29.997517
-68.37645	61.67259	0.20454201	29.997551
-68.324036	62.136757	0.17942968	29.997585
-68.27057	62.598633	0.21012166	29.99762
-68.215645	63.057762	0.24659553	29.997654
-68.15854	63.513943	0.1895028	29.99769
-68.10149	63.96847	0.20028004	29.997725
-68.042534	64.420525	0.16639715	29.997759
-67.981895	64.87072	0.19637951	29.997793
-67.91999	65.31886	0.1878955	29.997828
-67.85741	65.762634	0.17283031	29.997864
-67.79227	66.204926	0.23621032	29.997898
-67.72681	66.64413	0.22921154	29.997932
-67.660034	67.08284	0.0855892	29.997967
-67.59221	67.516136	0.18213221	29.998001
-67.52239	67.94834	0.18328753	29.998037
-67.451485	68.37764	0.22962716	29.998072
-67.37938	68.80332	0.2207888	29.998106
-67.306244	69.22765	0.20395324	29.99814
-67.23221	69.64855	0.20658556	29.998175
-67.156265	70.067215	0.26479432	29.99821
-67.07969	70.48248	0.1651341	29.998245
-67.00169	70.89559	0.25502798	29.99828
-66.92235	71.30602	0.19677183	29.998314
-66.8422	71.71295	0.20142058	29.99835
-66.760284	72.11664	0.20151767	29.998384
-66.677704	72.51804	0.19295415	29.998419
-66.59419	72.91681	0.18434986	29.998453
-66.50913	73.31254	0.19613317	29.998487
-66.42328	73.70615	0.15314534	29.998524
-66.33617	74.09731	0.17770615	29.998558
-66.24773	74.4838	0.2752554	29.998592
-66.15853	74.86815	0.1510604	29.998627
-66.067955	75.25088	0.2050468	29.998661
-65.97689	75.62827	0.23730025	29.998697
-65.885086	76.00403	0.22396448	29.998732
-65.79127	76.37807	0.24694404	29.998766
-65.697395	76.74827	0.2092742	29.9988
-65.60161	77.1154	0.21163234	29.998835
-65.50499	77.47976	0.2685937	29.99887
-65.40863	77.84242	0.19283941	29.998905
-65.30971	78.20082	0.19365999	29.99894
-65.21115	78.55672	0.2624772	29.998974
-65.11031	78.91018	0.20730397	29.999008
-65.009926	79.261734	0.23168316	29.999044
-64.90811	79.60806	0.21262708	29.999079
-64.8047	79.953514	0.23434135	29.999113
-64.700645	80.29455	0.2978852	29.999147
-64.59638	80.63363	0.16591918	29.999182
-64.49058	80.97114	0.23403367	29.999218
-64.384796	81.304855	0.27289078	29.999252
-64.27726	81.63615	0.20427427	29.999287
-64.168976	81.96454	0.17298374	29.999321
-64.06039	82.28999	0.18807921	29.999355
-63.950325	82.61254	0.1797829	29.999392
-63.83977	82.933205	0.22543082	29.999426
-63.727695	83.250374	0.209528	29.99946
-63.616714	83.56555	0.19992182	29.999495
-63.503506	83.876915	0.19518664	29.99953
-63.389694	84.18712	0.20842221	29.999565
-63.27491	84.49372	0.22690985	29.9996
-63.159668	84.79798	0.18226483	29.999634
-63.04498	85.100296	0.16022164	29.999668
-62.927784	85.400635	0.24557748	29.999702
-62.810318	85.697	0.17147091	29.999739
-62.692577	85.99055	0.19349435	29.999773
-62.573658	86.28266	0.18535158	29.999807
-62.454853	86.57246	0.18482897	29.999842
-62.333748	86.85678	0.25762996	29.999878
-62.21269	87.14327	0.1964154	29.999912
-62.091583	87.42473	0.18211135	29.999947
-61.969505	87.704895	0.17220911	29.99998
-61.84684	87.980896	0.17888	30.000015
-61.723473	88.2571	0.19934306	30.000051
-61.599506	88.529305	0.15143812	30.000086
-61.474266	88.79907	0.16922829	30.00012
-61.34877	89.065254	0.22322085	30.000154
-61.223213	89.33124	0.1933848	30.000189
-61.09651	89.595406	0.18112174	30.000225
-60.969494	89.85487	0.2108002	30.00026
-60.841774	90.114555	0.25184527	30.000294
-60.713207	90.36999	0.18914965	30.000328
-60.58403	90.62423	0.17848018	30.000362
-60.45445	90.87653	0.20753041	30.000399
-60.325363	91.12678	0.23748252	30.000433
-60.194836	91.373695	0.1976966	30.000467
-60.063457	91.61945	0.18680844	30.000502
-59.931923	91.86433	0.20139572	30.000536
-59.799644	92.104675	0.2145684	30.000572
-59.66708	92.34424	0.18024418	30.000607
-59.53373	92.58183	0.18227771	30.00064
-59.40042	92.81617	0.17247745	30.000675
-59.265884	93.04854	0.2183992	30.00071
-59.130722	93.27915	0.19796422	30.000746
-58.99586	93.51004	0.21175346	30.00078
-58.860123	93.73739	0.20593539	30.000814
-58.725216	93.9626	0.1790339	30.000849
-58.588753	94.185524	0.1950145	30.000883
-58.45139	94.40762	0.17133483	30.00092
-58.314182	94.6274	0.20733836	30.000954
-58.17588	94.84389	0.20110258	30.000988
-58.037163	95.061195	0.1723248	30.001022
-57.89814	95.27528	0.15020397	30.001057
-57.75912	95.48778	0.21943697	30.001093
-57.61917	95.69723	0.17998192	30.001127
-57.478916	95.90626	0.18645814	30.001162
-57.33861	96.11219	0.19405624	30.001196
-57.197624	96.31843	0.18541446	30.00123
-57.055946	96.521614	0.21775362	30.001266
-56.9149	96.72478	0.21368507	30.0013
-56.771763	96.92392	0.21189979	30.001335
-56.629955	97.12336	0.27065167	30.00137
-56.486633	97.31981	0.23689881	30.001404
-56.343246	97.51545	0.22936037	30.00144
-56.19932	97.70852	0.25113747	30.001474
-56.055553	97.90122	0.2776235	30.001509
-55.91032	98.09079	0.2677926	30.001543
-55.76557	98.27933	0.28234193	30.001577
-55.620163	98.467186	0.27244183	30.001614
-55.476044	98.65419	0.27483985	30.001648
-55.328854	98.837425	0.26631835	30.001682
-55.18325	99.0211	0.24683163	30.001717
-55.035706	99.20098	0.2803085	30.00175
-54.8889	99.38075	0.33181503	30.001787
-54.74239	99.56061	0.3267608	30.001822
-54.595043	99.737	0.2710996	30.001856
-54.446354	99.911644	0.28502998	30.00189
-54.299023	100.08679	0.25157067	30.001926
-54.14921	100.25886	0.21269086	30.00196
-54.00063	100.4299	0.2818571	30.001995
-53.851177	100.599686	0.38048902	30.00203
-53.70195	100.76926	0.2950956	30.002064
-53.552	100.936714	0.3300555	30.0021
-53.40226	101.10185	0.26753303	30.002134
-53.250626	101.265915	0.33528605	30.002169
-53.100773	101.429756	0.30281088	30.002203
-52.950153	101.591484	0.32761118	30.002237
-52.798786	101.752945	0.27109763	30.002274
-52.64691	101.91195	0.27403715	30.002308
-52.494892	102.069046	0.28187755	30.002342
-52.34214	102.22655	0.31240603	30.002377
-52.18941	102.38108	0.28729096	30.00241
-52.037838	102.53771	0.26070794	30.002447
-51.88454	102.69076	0.31185964	30.002481
-51.731163	102.84184	0.39813504	30.002516
-51.57826	102.994064	0.2836282	30.00255
-51.42351	103.143	0.30243412	30.002584
-51.26997	103.29206	0.35715768	30.00262
-51.116478	103.44015	0.27462664	30.002655
-50.9614	103.58704	0.25166646	30.00269
-50.805984	103.73041	0.3072553	30.002724
-50.651634	103.87591	0.33834878	30.002758
-50.49556	104.01766	0.34734288	30.002794
-50.340588	104.16096	0.34694746	30.002829
-50.18557	104.30186	0.35523418	30.002863
-50.028625	104.44114	0.3658943	30.002897
-49.872036	104.580185	0.27444825	30.002932
-49.71623	104.71848	0.33279333	30.002968
-49.559395	104.8549	0.335476	30.003002
-49.40327	104.99066	0.32217893	30.003036
-49.245705	105.12578	0.33065227	30.00307
-49.08808	105.25908	0.35352615	30.003105
-48.930717	105.392845	0.35241708	30.003141
-48.773212	105.523315	0.34064642	30.003176
-48.61982	105.65129	0.27753606	30.00321
-48.457314	105.78406	0.37215683	30.003244
-48.29875	105.91289	0.33003113	30.003279
-48.139893	106.04131	0.33212635	30.003315
-47.98177	106.16899	0.3203247	30.00335
-47.822666	106.295616	0.3589988	30.003384
-47.66318	106.420135	0.3022271	30.003418
-47.503853	106.54445	0.2838063	30.003454
-47.344627	106.66923	0.36768356	30.003489
-47.18441	106.790665	0.3161408	30.003523
-47.024544	106.91273	0.28936163	30.003557
-46.86424	107.03282	0.29697797	30.003592
-46.704464	107.15367	0.37398162	30.003628
-46.544056	107.2732	0.34092286	30.003662
-46.38332	107.39084	0.3488339	30.003696
-46.22227	107.50912	0.33422855	30.00373
-46.06078	107.62552	0.35165825	30.003765
-45.90038	107.742	0.36776313	30.003801
-45.73855	107.85649	0.36216828	30.003836
-45.57711	107.97101	0.3048589	30.00387
-45.4156	108.08432	0.3195009	30.003904
-45.25362	108.19718	0.4230958	30.003939
-45.09186	108.30973	0.32829586	30.003975
-44.929005	108.420265	0.29859814	30.00401
-44.766747	108.53096	0.28142223	30.004044
-44.604446	108.64144	0.3360981	30.004078
-44.441647	108.7508	0.35690972	30.004112
-44.279255	108.859474	0.334756	30.004148
-44.1155	108.96627	0.35513076	30.004183
-43.95262	109.072624	0.35178092	30.004217
-43.788883	109.17945	0.37024167	30.004251
-43.625854	109.28411	0.38861296	30.004286
-43.46218	109.38975	0.3305736	30.004322
-43.29856	109.49385	0.394671	30.004356
-43.134586	109.5962	0.36328843	30.00439
-42.970566	109.69921	0.3300589	30.004425
-42.806107	109.80213	0.359378	30.00446
-42.64229	109.903206	0.39106467	30.004496
-42.477398	110.00363	0.33211532	30.00453
-42.312744	110.10376	0.36186293	30.004564
-42.14801	110.203606	0.35319397	30.004599
-41.98306	110.3024	0.35536703	30.004633
-41.817547	110.39995	0.40584937	30.00467
-41.652725	110.49785	0.36982802	30.004704
-41.48756	110.595505	0.39345017	30.004738
-41.322002	110.69086	0.3937321	30.004772
-41.156563	110.78718	0.3434551	30.004807
-40.99084	110.88221	0.34499696	30.004843
-40.82525	110.976776	0.36287716	30.004877
-40.659016	111.07071	0.3670983	30.004911
-40.492798	111.16377	0.32252517	30.004946
-40.326275	111.256874	0.39507982	30.004982
-40.160637	111.34896	0.37917194	30.005016
-39.99397	111.440315	0.37112287	30.00505
-39.82713	111.53202	0.41465	30.005085
-39.6607	111.622284	0.3614441	30.00512
-39.493427	111.71191	0.40262285	30.005156
-39.32676	111.80154	0.35205022	30.00519
-39.159687	111.890465	0.36995885	30.005224
-38.992294	111.978386	0.37942377	30.005259
-38.82522	112.066345	0.37580928	30.005293
-38.657936	112.153465	0.39862743	30.00533
-38.49011	112.24014	0.363354	30.005363
-38.322227	112.32656	0.36510018	30.005398
-38.15486	112.41263	0.4107391	30.005432
-37.98684	112.498245	0.38966498	30.005466
-37.819427	112.58256	0.41620085	30.005503
-37.65104	112.66748	0.39017352	30.005537
-37.48288	112.75128	0.39851728	30.005571
-37.314445	112.83414	0.38236466	30.005606
-37.146408	112.91751	0.4258137	30.00564
-36.977318	112.99962	0.37903336	30.005676
-36.809002	113.081604	0.4107578	30.00571
-36.640583	113.16339	0.45135835	30.005745
-36.471817	113.244125	0.35527006	30.00578
-36.302418	113.323586	0.38890806	30.005814
-36.13392	113.40513	0.45824078	30.00585
-35.9648	113.4845	0.42160568	30.005884
-35.795483	113.56269	0.41935536	30.005919
-35.62616	113.64124	0.38991758	30.005953
-35.456802	113.719955	0.44103363	30.005987
-35.286427	113.796814	0.45721194	30.006023
-35.11745	113.874596	0.4186869	30.006058
-34.947765	113.952255	0.4696189	30.006092
-34.777916	114.028564	0.40669027	30.006126
-34.608505	114.10469	0.42129716	30.00616
-34.437572	114.18008	0.38968757	30.006197
-34.26802	114.25587	0.43162367	30.006231
-34.097534	114.33032	0.4146661	30.006266
-33.928204	114.40523	0.4030635	30.0063
-33.75702	114.47944	0.36218676	30.006334
-33.58695	114.55272	0.4082609	30.00637
-33.416767	114.62632	0.5185282	30.006405
-33.246216	114.6994	0.43756488	30.00644
-33.075104	114.77125	0.39570668	30.006474
-32.90438	114.844025	0.39684513	30.006508
-32.734528	114.91641	0.40592155	30.006544
-32.56277	114.98719	0.40841845	30.006578
-32.39124	115.05786	0.42819092	30.006613
-32.22108	115.12908	0.4129127	30.006647
-32.049496	115.198746	0.44259766	30.006683
-31.878613	115.269356	0.42099854	30.006718
-31.707201	115.33848	0.46314946	30.006752
-31.53634	115.408356	0.3815631	30.006786
-31.364412	115.47667	0.44390288	30.00682
-31.19321	115.546	0.3672736	30.006857
-31.021412	115.6136	0.40848956	30.006891
-30.849401	115.681206	0.41525832	30.006926
-30.678429	115.74956	0.46083495	30.00696
-30.506207	115.815895	0.4158106	30.006994
-30.33381	115.88244	0.40486273	30.00703
-30.162052	115.94968	0.43273774	30.007065
-29.990192	116.01579	0.40945682	30.0071
-29.8175	116.08095	0.49432227	30.007133
-29.645824	116.147575	0.4348798	30.007168
-29.473583	116.212326	0.4214268	30.007204
-29.300964	116.27671	0.49766365	30.007238
-29.128302	116.341606	0.43722013	30.007273
-28.956089	116.406425	0.4128106	30.007307
-28.782993	116.46942	0.41101703	30.007341
-28.610407	116.53335	0.4688615	30.007378
-28.438103	116.596756	0.4420686	30.007412
-28.264803	116.66012	0.41598758	30.007446
-28.092285	116.722496	0.454195	30.00748
