time,N_sat,L1,L2,P1,P2,C1
0.117,G24,126432863.988,98519120.990,0,24059375.540,24059373.801
0.117,G28,110965741.386,86466815.379,0,21116071.326,21116072.959
0.117,G30,117584724.685,91624475.033,0,22375622.621,22375621.294
0.125,G05,129342821.973,100786620.456,0,24613120.756,24613121.024
0.125,G13,106541573.777,83019420.887,0,20274179.931,20274181.481
0.125,G15,111503685.694,86885992.039,0,21218442.584,21218443.741
0.125,G17,125052864.956,97443786.987,0,23796765.850,23796766.112
0.125,G18,127887033.441,99652230.532,0,24336089.815,24336092.363
0.125,G20,120474128.191,93875918.879,0,22925463.374,22925464.664
0.125,G24,126330971.124,98439724.015,0,24039985.973,24039984.180
0.125,G28,111001560.877,86494726.685,0,21122887.483,21122889.169
0.125,G30,117669989.240,91690914.919,0,22391847.851,22391846.480
0.133,G05,129450378.740,100870430.925,0,24633587.984,24633588.164
0.133,G13,106554933.002,83029830.682,0,20276722.102,20276723.651
0.133,G15,111461841.789,86853386.398,0,21210479.938,21210481.122
0.133,G17,124960820.572,97372064.114,0,23779250.277,23779250.678
0.133,G18,127838659.532,99614536.578,0,24326884.719,24326887.138
0.133,G20,120542959.690,93929553.795,0,22938561.462,22938562.785
0.133,G24,126229185.938,98360410.918,0,24020616.882,24020615.026
0.133,G28,111037824.760,86522984.255,0,21129788.407,21129789.957
0.133,G30,117755470.998,91757524.087,0,22408114.383,22408113.177
0.142,G05,129557993.444,100954286.529,0,24654066.394,24654066.585
0.142,G13,106568855.784,83040679.619,0,20279371.447,20279373.068
0.142,G15,111420516.897,86821185.182,0,21202616.096,21202617.286
0.142,G17,124869009.921,97300523.406,0,23761779.328,23761779.876
0.142,G18,127790722.264,99577182.850,0,24317762.718,24317764.926
0.142,G20,120612212.420,93983516.938,0,22951740.102,22951741.147
0.142,G24,126127508.506,98281181.778,0,24001268.080,24001266.567
0.142,G28,111074530.316,86551585.995,0,21136773.092,21136774.804
0.142,G30,117841167.691,91824300.721,0,22424421.957,22424420.686
0.150,G05,129665663.260,101038185.113,0,24674555.041,24674555.506
0.150,G13,106583342.766,83051968.196,0,20282128.263,20282129.837
0.150,G15,111379712.611,86789389.645,0,21194851.369,21194852.542
0.150,G17,124777436.052,97229167.126,0,23744353.045,23744354.079
0.150,G18,127743223.405,99540170.764,0,24308724.057,24308726.080
0.150,G20,120681884.030,94037806.502,0,22964998.161,22964999.155
0.150,G24,126025939.816,98202037.383,0,23981939.936,23981938.682
0.150,G28,111111676.065,86580530.737,0,21143841.571,21143843.512
0.150,G30,117927078.255,91891243.987,0,22440770.354,22440768.810
0.158,G05,129773383.593,101122123.013,0,24695053.411,24695053.754
0.158,G13,106598391.701,83063694.651,0,20284991.983,20284993.501
0.158,G15,111339428.490,86757999.424,0,21187185.603,21187186.747
0.158,G17,124686099.347,97157995.741,0,23726972.289,23726973.175
0.158,G18,127696162.385,99503499.809,0,24299768.635,24299770.684
0.158,G20,120751969.510,94092418.534,0,22978335.046,22978335.990
0.158,G24,125924479.390,98122977.338,0,23962632.864,23962631.369
0.158,G28,111149258.456,86609815.715,0,21150993.338,21150995.239
0.158,G30,118013199.399,91958351.361,0,22457158.615,22457157.279
0.167,G05,129881155.484,101206101.139,0,24715561.674,24715562.170
0.167,G13,106614006.896,83075862.349,0,20287963.444,20287964.950
0.167,G15,111299670.268,86727018.996,0,21179619.827,21179621.003
0.167,G17,124595006.959,97087014.691,0,23709638.022,23709638.971
0.167,G18,127649544.754,99467174.400,0,24290897.882,24290899.406
0.167,G20,120822470.404,94147354.286,0,22991751.055,22991751.953
0.167,G24,125823132.195,98044005.501,0,23943347.356,23943345.758
0.167,G28,111187280.258,86639443.096,0,21158228.586,21158230.589
0.167,G30,118099534.254,92025625.261,0,22473587.542,22473586.202
0.175,G05,129988975.669,101290116.841,0,24736079.441,24736079.615
0.175,G13,106630187.318,83088470.487,0,20291042.419,20291043.952
0.175,G15,111260438.587,86696448.848,0,21172154.277,21172155.492
0.175,G17,124504160.557,97016225.338,0,23692350.440,23692351.315
0.175,G18,127603370.854,99431194.756,0,24282111.629,24282112.650
0.175,G20,120893383.075,94202610.882,0,23005245.211,23005246.221
0.175,G24,125721898.738,97965122.348,0,23924083.116,23924081.333
0.175,G28,111225738.953,86669410.921,0,21165546.921,21165549.088
0.175,G30,118186080.530,92093063.897,0,22490056.517,22490055.464
0.183,G05,130096835.523,101374163.458,0,24756604.430,24756604.556
0.183,G13,106646927.987,83101515.182,0,20294228.021,20294229.578
0.183,G15,111221729.670,86666286.064,0,21164788.202,21164789.442
0.183,G17,124413558.043,96945626.007,0,23675109.362,23675110.170
0.183,G18,127557636.892,99395557.901,0,24273407.455,24273409.535
0.183,G20,120964699.676,94258182.246,0,23018816.229,23018817.450
0.183,G24,125620775.055,97886324.702,0,23904840.003,23904838.177
0.183,G28,111264627.884,86699713.987,0,21172947.231,21172949.465
0.183,G30,118272831.887,92160662.350,0,22506564.826,22506563.853
0.192,G05,130204739.183,101458244.240,0,24777137.625,24777138.118
