yyyy.MM.dd (DDD) HH:mm:ss  fmin     foF2     M(D)    foF2p      h`F2     foF1      fxI      h`F      foE       h`E     fbEs     foEs  	   h`Es h`(fMUF)   MUF(D) type Es

2009.01.01 (001) 15:00:00   --- /B    --- /B  --- /   1.74 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 15:15:00   --- /B    --- /B  --- /   1.77 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 15:30:00   --- /B    --- /B  --- /   1.79 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 15:45:00   --- /B    --- /B  --- /   1.81 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 16:00:00  1.70 /   2.000 /  3.31 /   1.81 //  327.6 /    --- /   2.65 /X  327.6 /    --- /     --- /    --- /    --- /     --- /   341.3 /   6.62 /   --- / 
2009.01.01 (001) 16:15:00  1.70 /   1.950 /  3.21 /   1.81 //  337.9 /    --- /   2.65 /X  337.9 /    --- /     --- /    --- /    --- /     --- /   375.5 /   6.25 /   --- / 
2009.01.01 (001) 16:30:00   --- /B    --- /B  --- /   1.80 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 16:45:00  1.60 /   2.000 /  3.20 /   1.79 //  344.7 /    --- /   2.60 /X  344.7 /    --- /     --- /    --- /    --- /     --- /   361.8 /   6.40 /   --- / 
2009.01.01 (001) 17:00:00  1.75 /   2.050 /  3.21 /   1.76 //  327.6 /    --- /   2.45 /X  327.6 /    --- /     --- /    --- /    --- /     --- /   375.5 /   6.57 /   --- / 
2009.01.01 (001) 17:15:00   --- /B    --- /B  --- /   1.73 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 17:30:00   --- /B    --- /B  --- /   1.70 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
